 7.5- 8.5 2.6E-09 2.7E-09 2.7E-09 2.8E-09 2.9E-09 3.0E-09 3.1E-09 3.3E-09 3.6E-09 3.9E-09 4.1E-09 4.3E-09 4.4E-09   4.5E-08
 8.5- 9.5 2.4E-08 2.4E-08 2.4E-08 2.3E-08 2.3E-08 2.3E-08 2.3E-08 2.2E-08 2.1E-08 2.0E-08 1.9E-08 1.9E-08 1.8E-08   2.7E-07
 9.5-10.5 2.9E-07 2.9E-07 2.9E-07 3.0E-07 3.0E-07 3.1E-07 3.1E-07 3.2E-07 3.3E-07 3.3E-07 3.4E-07 3.4E-07 3.5E-07   4.1E-06
10.5-11.5 7.6E-07 7.6E-07 7.5E-07 7.3E-07 7.0E-07 6.7E-07 6.3E-07 6.0E-07 5.3E-07 4.7E-07 4.3E-07 4.0E-07 3.9E-07   6.8E-06
11.5-12.5 1.9E-07 1.9E-07 1.9E-07 1.8E-07 1.7E-07 1.7E-07 1.6E-07 1.5E-07 1.3E-07 1.1E-07 9.5E-08 8.4E-08 7.8E-08   1.6E-06
12.5-13.5 4.2E-16 3.7E-16 2.3E-16 8.1E-17 3.0E-19 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00   2.1E-16
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
                                                                             alpha production cross section (mb) =1.284E-05
                                                                             alpha multiplicity (dimensionless)  =2.485E-05
                                                                             alpha average energy (MeV)          =1.074E+01
                                                                             alpha kerma coefficient (fGym^2)    =0.000E+00
  
***************************** A<5 PRODUCTION CROSS SECTION SUMMARY ********************************************************
 neutron prod. cross sec. (mb)=5.158E-01 ;multiplicity=9.985E-01 ;av. energy (MeV)=7.598E-01 ;kerma co. (fGym^2) =0.000E+00
  proton prod. cross sec. (mb)=2.465E-09 ;multiplicity=4.772E-09 ;av. energy (MeV)=2.241E+00 ;kerma co. (fGym^2) =0.000E+00
deuteron prod. cross sec. (mb)=0.000E+00 ;multiplicity=0.000E+00 ;av. energy (MeV)=0.000E+00 ;kerma co. (fGym^2) =0.000E+00
  triton prod. cross sec. (mb)=0.000E+00 ;multiplicity=0.000E+00 ;av. energy (MeV)=0.000E+00 ;kerma co. (fGym^2) =0.000E+00
   alpha prod. cross sec. (mb)=1.284E-05 ;multiplicity=2.485E-05 ;av. energy (MeV)=1.074E+01 ;kerma co. (fGym^2) =0.000E+00
   gamma prod. cross sec. (mb)=8.949E-01 ;multiplicity=1.732E+00 ;av. energy (MeV)=3.665E-01 ;kerma co. (fGym^2) =0.000E+00
******************************** ENERGY DEPOSITION SUMMARY ****************************************************************
Average fraction of incident energy transferred to secondary ejectiles per nonelastic reaction:
neut.=1.52E-01; prot.=2.14E-09; deut.=0.00E+00; trit.=0.00E+00; alph.=5.34E-05; gamm.=1.27E-01; A>5 recoils=5.55E-03
***************************************************************************************************************************

+++++++++++++++++++++++++++++++++++++++   6-MeV  protons incident on 208Pb ++++++++++++++++++++++++++++++++++++++++++++++++

Cross section summary information for   6-MeV reactions on 208Pb:
Nonelastic cross section = 1.524E+00 mb
  
                         6-MeV  protons incident on 208Pb
                        Emission spectrum of  *neutrons*
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
ANGLE(deg)    0      10      20      30      40      50      60      70      90     110     130     150     180     ANG-INT
ENERGY                                     Double-differential emission spectra (mb/MeV.sr)                        (mb/MeV)
 (MeV)    ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
 0.0- 1.5 5.5E-02 5.4E-02 5.4E-02 5.4E-02 5.4E-02 5.3E-02 5.3E-02 5.2E-02 5.2E-02 5.2E-02 5.3E-02 5.4E-02 5.4E-02   6.7E-01
 1.5- 2.5 4.5E-02 4.5E-02 4.5E-02 4.4E-02 4.4E-02 4.3E-02 4.2E-02 4.1E-02 4.0E-02 4.0E-02 4.0E-02 4.0E-02 4.0E-02   5.2E-01
 2.5- 3.5 1.3E-03 1.3E-03 1.3E-03 1.2E-03 1.1E-03 1.0E-03 9.6E-04 8.6E-04 6.9E-04 5.5E-04 4.4E-04 3.7E-04 3.3E-04   9.2E-03
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
                                                                           neutron production cross section (mb) =1.523E+00
                                                                           neutron multiplicity (dimensionless)  =9.993E-01
                                                                           neutron average energy (MeV)          =1.227E+00
  
                         6-MeV  protons incident on 208Pb
                        Emission spectrum of   *protons*
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
ANGLE(deg)    0      10      20      30      40      50      60      70      90     110     130     150     180     ANG-INT
ENERGY                                     Double-differential emission spectra (mb/MeV.sr)                        (mb/MeV)
 (MeV)    ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
 0.0- 1.5 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00   0.0E+00
 1.5- 2.5 1.6E-11 1.6E-11 1.6E-11 1.6E-11 1.6E-11 1.6E-11 1.6E-11 1.7E-11 1.7E-11 1.8E-11 1.9E-11 2.0E-11 2.0E-11   2.2E-10
 2.5- 3.5 3.8E-08 3.8E-08 3.8E-08 3.7E-08 3.6E-08 3.5E-08 3.3E-08 3.2E-08 2.9E-08 2.7E-08 2.5E-08 2.4E-08 2.3E-08   3.7E-07
 3.5- 4.5 3.9E-09 3.8E-09 3.7E-09 3.4E-09 3.1E-09 2.8E-09 2.4E-09 2.1E-09 1.4E-09 9.8E-10 6.7E-10 4.9E-10 4.0E-10   2.1E-08
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
                                                                            proton production cross section (mb) =3.953E-07
                                                                            proton multiplicity (dimensionless)  =2.594E-07
                                                                            proton average energy (MeV)          =3.237E+00
                                                                            proton kerma coefficient (fGym^2)    =0.000E+00
  
                         6-MeV  protons incident on 208Pb
                        Emission spectrum of    *alphas*
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
ANGLE(deg)    0      10      20      30      40      50      60      70      90     110     130     150     180     ANG-INT
ENERGY                                     Double-differential emission spectra (mb/MeV.sr)                        (mb/MeV)
 (MeV)    ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
 0.0- 1.5 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00   0.0E+00
 1.5- 2.5 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00   0.0E+00
 2.5- 3.5 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00   0.0E+00
 3.5- 4.5 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00   0.0E+00
 4.5- 5.5 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00   0.0E+00
 5.5- 6.5 5.1E-13 5.1E-13 5.2E-13 5.4E-13 5.6E-13 5.9E-13 6.3E-13 6.7E-13 7.6E-13 8.6E-13 9.5E-13 1.0E-12 1.1E-12   9.7E-12
 6.5- 7.5 5.9E-12 5.9E-12 5.9E-12 5.9E-12 5.9E-12 5.9E-12 5.9E-12 5.9E-12 5.9E-12 5.9E-12 5.9E-12 5.9E-12 5.9E-12   7.4E-11
 7.5- 8.5 1.8E-09 1.8E-09 1.8E-09 1.9E-09 1.9E-09 2.0E-09 2.1E-09 2.3E-09 2.5E-09 2.8E-09 3.0E-09 3.2E-09 3.3E-09   3.2E-08
 8.5- 9.5 1.8E-08 1.8E-08 1.8E-08 1.8E-08 1.8E-08 1.8E-08 1.8E-08 1.7E-08 1.7E-08 1.6E-08 1.6E-08 1.5E-08 1.5E-08   2.1E-07
 9.5-10.5 2.6E-07 2.6E-07 2.7E-07 2.7E-07 2.8E-07 2.9E-07 3.0E-07 3.1E-07 3.3E-07 3.5E-07 3.7E-07 3.8E-07 3.9E-07   4.1E-06
10.5-11.5 1.9E-06 1.9E-06 1.9E-06 1.9E-06 1.9E-06 1.8E-06 1.8E-06 1.7E-06 1.6E-06 1.5E-06 1.4E-06 1.3E-06 1.3E-06   2.0E-05
11.5-12.5 1.8E-06 1.8E-06 1.7E-06 1.7E-06 1.7E-06 1.6E-06 1.6E-06 1.5E-06 1.4E-06 1.4E-06 1.4E-06 1.4E-06 1.4E-06   1.9E-05
12.5-13.5 1.6E-06 1.6E-06 1.6E-06 1.5E-06 1.4E-06 1.4E-06 1.3E-06 1.2E-06 1.0E-06 8.5E-07 7.1E-07 6.1E-07 5.6E-07   1.3E-05
13.5-14.5 4.3E-15 3.7E-15 2.2E-15 6.5E-16 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00   2.0E-15
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
                                                                             alpha production cross section (mb) =5.591E-05
                                                                             alpha multiplicity (dimensionless)  =3.669E-05
                                                                             alpha average energy (MeV)          =1.169E+01
                                                                             alpha kerma coefficient (fGym^2)    =0.000E+00
  
***************************** A<5 PRODUCTION CROSS SECTION SUMMARY ********************************************************
 neutron prod. cross sec. (mb)=1.523E+00 ;multiplicity=9.993E-01 ;av. energy (MeV)=1.227E+00 ;kerma co. (fGym^2) =0.000E+00
  proton prod. cross sec. (mb)=3.953E-07 ;multiplicity=2.594E-07 ;av. energy (MeV)=3.237E+00 ;kerma co. (fGym^2) =0.000E+00
deuteron prod. cross sec. (mb)=0.000E+00 ;multiplicity=0.000E+00 ;av. energy (MeV)=0.000E+00 ;kerma co. (fGym^2) =0.000E+00
  triton prod. cross sec. (mb)=0.000E+00 ;multiplicity=0.000E+00 ;av. energy (MeV)=0.000E+00 ;kerma co. (fGym^2) =0.000E+00
