12.5-13.5 4.4E-01 4.3E-01 4.1E-01 3.8E-01 3.4E-01 2.9E-01 2.5E-01 2.1E-01 1.4E-01 9.5E-02 6.7E-02 5.2E-02 4.4E-02   2.2E+00
13.5-14.5 5.5E-01 5.4E-01 5.1E-01 4.6E-01 4.1E-01 3.5E-01 2.9E-01 2.4E-01 1.5E-01 9.4E-02 6.1E-02 4.4E-02 3.7E-02   2.5E+00
14.5-15.5 1.9E-01 1.9E-01 1.7E-01 1.5E-01 1.3E-01 1.0E-01 8.0E-02 6.1E-02 3.4E-02 1.9E-02 1.2E-02 8.1E-03 6.5E-03   6.7E-01
15.5-16.5 1.6E-02 1.6E-02 1.4E-02 1.1E-02 8.4E-03 5.7E-03 3.6E-03 2.0E-03 3.8E-04 8.3E-06 0.0E+00 0.0E+00 0.0E+00   3.3E-02
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
                                                                          deuteron production cross section (mb) =9.353E+00
                                                                          deuteron multiplicity (dimensionless)  =6.298E-03
                                                                          deuteron average energy (MeV)          =1.264E+01
                                                                          deuteron kerma coefficient (fGym^2)    =0.000E+00
  
                        20-MeV  protons incident on 208Pb
                        Emission spectrum of    *alphas*
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
ANGLE(deg)    0      10      20      30      40      50      60      70      90     110     130     150     180     ANG-INT
ENERGY                                     Double-differential emission spectra (mb/MeV.sr)                        (mb/MeV)
 (MeV)    ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
 0.0- 1.5 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00   0.0E+00
 1.5- 2.5 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00   0.0E+00
 2.5- 3.5 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00   0.0E+00
 3.5- 4.5 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00   0.0E+00
 4.5- 5.5 5.6E-10 5.8E-10 6.6E-10 7.8E-10 9.7E-10 1.2E-09 1.6E-09 2.0E-09 3.0E-09 4.3E-09 5.5E-09 1.0E-08 1.6E-08   4.8E-08
 5.5- 6.5 7.8E-07 7.9E-07 8.2E-07 8.6E-07 9.1E-07 9.9E-07 1.1E-06 1.2E-06 1.4E-06 1.7E-06 1.9E-06 2.1E-06 2.2E-06   1.8E-05
 6.5- 7.5 4.1E-06 4.1E-06 4.1E-06 4.2E-06 4.2E-06 4.3E-06 4.4E-06 4.4E-06 4.6E-06 4.8E-06 6.3E-06 9.9E-06 1.3E-05   6.8E-05
 7.5- 8.5 1.8E-04 1.8E-04 1.9E-04 2.0E-04 2.1E-04 2.3E-04 2.5E-04 2.8E-04 3.4E-04 4.1E-04 4.7E-04 5.2E-04 5.4E-04   4.4E-03
 8.5- 9.5 8.2E-04 8.2E-04 8.2E-04 8.1E-04 8.1E-04 8.1E-04 8.0E-04 8.0E-04 7.7E-04 7.4E-04 7.3E-04 7.3E-04 7.3E-04   9.7E-03
 9.5-10.5 9.4E-04 9.5E-04 9.6E-04 9.7E-04 9.9E-04 1.0E-03 1.1E-03 1.1E-03 1.2E-03 1.4E-03 1.5E-03 1.6E-03 1.6E-03   1.6E-02
10.5-11.5 1.7E-03 1.7E-03 1.7E-03 1.7E-03 1.6E-03 1.6E-03 1.5E-03 1.4E-03 1.3E-03 1.1E-03 9.6E-04 8.8E-04 8.3E-04   1.6E-02
11.5-12.5 5.3E-04 5.3E-04 5.3E-04 5.3E-04 5.3E-04 5.3E-04 5.5E-04 5.7E-04 6.5E-04 7.7E-04 8.8E-04 9.8E-04 1.0E-03   8.7E-03
12.5-13.5 1.5E-03 1.5E-03 1.5E-03 1.5E-03 1.6E-03 1.6E-03 1.6E-03 1.6E-03 1.6E-03 1.6E-03 1.7E-03 1.8E-03 1.9E-03   2.1E-02
13.5-14.5 2.5E-03 2.5E-03 2.5E-03 2.5E-03 2.6E-03 2.6E-03 2.7E-03 2.9E-03 3.2E-03 3.6E-03 4.1E-03 4.5E-03 4.8E-03   4.2E-02
14.5-15.5 6.4E-03 6.4E-03 6.4E-03 6.3E-03 6.3E-03 6.2E-03 6.2E-03 6.1E-03 6.1E-03 6.1E-03 6.2E-03 6.4E-03 6.5E-03   7.8E-02
15.5-16.5 6.4E-03 6.4E-03 6.3E-03 6.1E-03 5.9E-03 5.7E-03 5.4E-03 5.2E-03 4.9E-03 4.8E-03 4.8E-03 5.0E-03 5.1E-03   6.5E-02
16.5-17.5 7.2E-03 7.1E-03 7.1E-03 7.0E-03 6.8E-03 6.7E-03 6.5E-03 6.4E-03 6.3E-03 6.3E-03 6.4E-03 6.6E-03 6.7E-03   8.2E-02
17.5-18.5 1.4E-02 1.4E-02 1.3E-02 1.3E-02 1.3E-02 1.2E-02 1.2E-02 1.1E-02 1.0E-02 9.6E-03 9.1E-03 8.8E-03 8.7E-03   1.3E-01
18.5-19.5 2.7E-02 2.7E-02 2.6E-02 2.5E-02 2.4E-02 2.3E-02 2.1E-02 2.0E-02 1.7E-02 1.4E-02 1.3E-02 1.1E-02 1.1E-02   2.2E-01
19.5-20.5 4.6E-02 4.5E-02 4.4E-02 4.2E-02 4.0E-02 3.7E-02 3.4E-02 3.1E-02 2.5E-02 2.0E-02 1.7E-02 1.4E-02 1.3E-02   3.3E-01
20.5-21.5 6.7E-02 6.6E-02 6.4E-02 6.1E-02 5.6E-02 5.1E-02 4.6E-02 4.1E-02 3.1E-02 2.4E-02 1.9E-02 1.6E-02 1.4E-02   4.3E-01
21.5-22.5 8.0E-02 7.9E-02 7.6E-02 7.1E-02 6.5E-02 5.8E-02 5.1E-02 4.4E-02 3.2E-02 2.3E-02 1.7E-02 1.4E-02 1.2E-02   4.6E-01
22.5-23.5 7.7E-02 7.6E-02 7.2E-02 6.7E-02 6.0E-02 5.3E-02 4.5E-02 3.8E-02 2.6E-02 1.8E-02 1.2E-02 9.6E-03 8.3E-03   3.9E-01
23.5-24.5 6.2E-02 6.0E-02 5.7E-02 5.2E-02 4.6E-02 4.0E-02 3.3E-02 2.7E-02 1.8E-02 1.2E-02 8.5E-03 7.0E-03 6.4E-03   2.9E-01
24.5-25.5 3.9E-02 3.9E-02 3.6E-02 3.3E-02 2.8E-02 2.4E-02 1.9E-02 1.5E-02 9.1E-03 5.3E-03 3.3E-03 2.3E-03 1.8E-03   1.6E-01
25.5-26.5 1.4E-02 1.3E-02 1.2E-02 1.0E-02 8.5E-03 6.5E-03 4.7E-03 3.3E-03 1.4E-03 6.0E-04 2.7E-04 1.5E-04 9.9E-05   3.9E-02
26.5-27.5 7.2E-04 6.8E-04 5.9E-04 4.5E-04 3.2E-04 2.2E-04 1.4E-04 9.1E-05 3.0E-05 8.6E-06 3.2E-06 1.5E-06 8.7E-07   1.4E-03
27.5-28.5 4.3E-06 3.9E-06 2.8E-06 1.5E-06 4.5E-07 8.8E-09 1.4E-11 8.0E-12 1.7E-12 8.2E-14 0.0E+00 0.0E+00 0.0E+00   3.0E-06
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
                                                                             alpha production cross section (mb) =2.799E+00
                                                                             alpha multiplicity (dimensionless)  =1.885E-03
                                                                             alpha average energy (MeV)          =2.086E+01
                                                                             alpha kerma coefficient (fGym^2)    =0.000E+00
  
***************************** A<5 PRODUCTION CROSS SECTION SUMMARY ********************************************************
 neutron prod. cross sec. (mb)=2.833E+03 ;multiplicity=1.908E+00 ;av. energy (MeV)=2.046E+00 ;kerma co. (fGym^2) =0.000E+00
  proton prod. cross sec. (mb)=6.005E+01 ;multiplicity=4.044E-02 ;av. energy (MeV)=1.375E+01 ;kerma co. (fGym^2) =0.000E+00
deuteron prod. cross sec. (mb)=9.353E+00 ;multiplicity=6.298E-03 ;av. energy (MeV)=1.264E+01 ;kerma co. (fGym^2) =0.000E+00
  triton prod. cross sec. (mb)=1.496E+00 ;multiplicity=1.007E-03 ;av. energy (MeV)=1.134E+01 ;kerma co. (fGym^2) =0.000E+00
   alpha prod. cross sec. (mb)=2.799E+00 ;multiplicity=1.885E-03 ;av. energy (MeV)=2.086E+01 ;kerma co. (fGym^2) =0.000E+00
   gamma prod. cross sec. (mb)=4.509E+03 ;multiplicity=3.036E+00 ;av. energy (MeV)=1.639E+00 ;kerma co. (fGym^2) =0.000E+00
******************************** ENERGY DEPOSITION SUMMARY ****************************************************************
Average fraction of incident energy transferred to secondary ejectiles per nonelastic reaction:
neut.=1.95E-01; prot.=2.78E-02; deut.=3.98E-03; trit.=5.71E-04; alph.=1.97E-03; gamm.=2.49E-01; A>5 recoils=5.73E-03
***************************************************************************************************************************

+++++++++++++++++++++++++++++++++++++++  22-MeV  protons incident on 208Pb ++++++++++++++++++++++++++++++++++++++++++++++++

Cross section summary information for  22-MeV reactions on 208Pb:
Nonelastic cross section = 1.619E+03 mb
  
                        22-MeV  protons incident on 208Pb
                        Emission spectrum of  *neutrons*
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
ANGLE(deg)    0      10      20      30      40      50      60      70      90     110     130     150     180     ANG-INT
ENERGY                                     Double-differential emission spectra (mb/MeV.sr)                        (mb/MeV)
 (MeV)    ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
   0-   3 8.4E+01 8.4E+01 8.3E+01 8.2E+01 8.1E+01 8.0E+01 7.9E+01 7.8E+01 7.6E+01 7.6E+01 7.6E+01 7.6E+01 7.7E+01   9.8E+02
   3-   5 2.0E+01 2.0E+01 2.0E+01 2.0E+01 1.9E+01 1.9E+01 1.8E+01 1.8E+01 1.7E+01 1.6E+01 1.6E+01 1.6E+01 1.6E+01   2.2E+02
   5-   7 5.0E+00 5.0E+00 4.9E+00 4.7E+00 4.5E+00 4.3E+00 4.1E+00 3.9E+00 3.5E+00 3.2E+00 3.0E+00 2.9E+00 2.9E+00   4.6E+01
   7-   9 2.3E+00 2.3E+00 2.2E+00 2.1E+00 2.0E+00 1.9E+00 1.7E+00 1.6E+00 1.3E+00 1.1E+00 9.5E-01 8.6E-01 8.2E-01   1.7E+01
   9-  11 1.7E+00 1.7E+00 1.6E+00 1.5E+00 1.4E+00 1.3E+00 1.2E+00 1.1E+00 8.3E-01 6.5E-01 5.3E-01 4.5E-01 4.2E-01   1.1E+01
  11-  13 1.3E+00 1.3E+00 1.3E+00 1.2E+00 1.1E+00 9.9E-01 8.8E-01 7.8E-01 5.9E-01 4.4E-01 3.5E-01 2.9E-01 2.6E-01   8.2E+00
  13-  15 1.0E+00 9.9E-01 9.5E-01 8.8E-01 8.0E-01 7.2E-01 6.3E-01 5.4E-01 3.9E-01 2.9E-01 2.2E-01 1.7E-01 1.5E-01   5.7E+00
  15-  17 6.3E-01 6.2E-01 5.9E-01 5.4E-01 4.9E-01 4.3E-01 3.7E-01 3.2E-01 2.2E-01 1.6E-01 1.3E-01 1.1E-01 1.0E-01   3.4E+00
  17-  19 1.6E-01 1.6E-01 1.5E-01 1.4E-01 1.2E-01 1.0E-01 8.5E-02 7.0E-02 4.6E-02 3.2E-02 2.4E-02 2.0E-02 1.8E-02   7.6E-01
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
                                                                           neutron production cross section (mb) =3.550E+03
                                                                           neutron multiplicity (dimensionless)  =2.193E+00
                                                                           neutron average energy (MeV)          =1.943E+00
  
                        22-MeV  protons incident on 208Pb
                        Emission spectrum of   *protons*
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
ANGLE(deg)    0      10      20      30      40      50      60      70      90     110     130     150     180     ANG-INT
ENERGY                                     Double-differential emission spectra (mb/MeV.sr)                        (mb/MeV)
 (MeV)    ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
   0-   3 9.6E-05 9.6E-05 9.8E-05 1.0E-04 1.0E-04 1.1E-04 1.1E-04 1.2E-04 1.3E-04 1.5E-04 1.7E-04 1.9E-04 2.0E-04   1.7E-03
   3-   5 2.9E-02 2.9E-02 2.9E-02 2.9E-02 2.9E-02 2.8E-02 2.8E-02 2.8E-02 2.8E-02 2.9E-02 3.1E-02 3.2E-02 3.3E-02   3.7E-01
   5-   7 3.3E-02 3.2E-02 3.2E-02 3.1E-02 3.0E-02 2.9E-02 2.8E-02 2.7E-02 2.5E-02 2.4E-02 2.4E-02 2.4E-02 2.4E-02   3.3E-01
   7-   9 1.4E-01 1.4E-01 1.4E-01 1.3E-01 1.3E-01 1.2E-01 1.1E-01 1.0E-01 9.1E-02 7.9E-02 7.2E-02 6.7E-02 6.5E-02   1.2E+00
   9-  11 5.1E-01 5.1E-01 4.9E-01 4.7E-01 4.4E-01 4.1E-01 3.7E-01 3.4E-01 2.7E-01 2.2E-01 1.8E-01 1.6E-01 1.5E-01   3.6E+00
  11-  13 1.0E+00 1.0E+00 9.7E-01 9.1E-01 8.4E-01 7.7E-01 6.8E-01 6.0E-01 4.6E-01 3.5E-01 2.8E-01 2.3E-01 2.1E-01   6.4E+00
  13-  15 1.4E+00 1.4E+00 1.3E+00 1.3E+00 1.1E+00 1.0E+00 9.0E-01 7.8E-01 5.7E-01 4.2E-01 3.2E-01 2.6E-01 2.3E-01   8.2E+00
  15-  17 2.3E+00 2.3E+00 2.2E+00 2.0E+00 1.8E+00 1.6E+00 1.4E+00 1.2E+00 8.4E-01 6.1E-01 4.9E-01 4.3E-01 4.1E-01   1.3E+01
  17-  19 1.8E+00 1.8E+00 1.7E+00 1.6E+00 1.4E+00 1.2E+00 9.9E-01 8.1E-01 5.3E-01 3.6E-01 2.6E-01 2.1E-01 1.8E-01   8.6E+00
  19-  21 9.0E-01 8.8E-01 8.2E-01 7.4E-01 6.4E-01 5.3E-01 4.3E-01 3.4E-01 2.0E-01 1.2E-01 7.5E-02 5.2E-02 4.2E-02   3.6E+00
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
                                                                            proton production cross section (mb) =9.015E+01
                                                                            proton multiplicity (dimensionless)  =5.568E-02
                                                                            proton average energy (MeV)          =1.487E+01
                                                                            proton kerma coefficient (fGym^2)    =0.000E+00
  
                        22-MeV  protons incident on 208Pb
                        Emission spectrum of *deuterons*
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
ANGLE(deg)    0      10      20      30      40      50      60      70      90     110     130     150     180     ANG-INT
ENERGY                                     Double-differential emission spectra (mb/MeV.sr)                        (mb/MeV)
 (MeV)    ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
   0-   3 1.5E-10 1.5E-10 1.6E-10 1.7E-10 1.8E-10 2.0E-10 2.2E-10 2.4E-10 3.0E-10 3.7E-10 4.4E-10 5.1E-10 5.6E-10   4.0E-09
   3-   5 1.1E-05 1.1E-05 1.1E-05 1.1E-05 1.1E-05 1.0E-05 1.0E-05 9.8E-06 9.4E-06 9.2E-06 9.3E-06 9.5E-06 9.8E-06   1.2E-04
   5-   7 3.0E-04 3.0E-04 2.9E-04 2.8E-04 2.7E-04 2.6E-04 2.5E-04 2.3E-04 2.1E-04 1.9E-04 1.7E-04 1.6E-04 1.6E-04   2.7E-03
   7-   9 1.0E-02 1.0E-02 9.9E-03 9.5E-03 9.0E-03 8.3E-03 7.7E-03 7.0E-03 5.7E-03 4.7E-03 3.9E-03 3.4E-03 3.2E-03   7.6E-02
   9-  11 8.2E-02 8.1E-02 7.8E-02 7.4E-02 6.8E-02 6.2E-02 5.5E-02 4.8E-02 3.6E-02 2.8E-02 2.1E-02 1.8E-02 1.6E-02   5.1E-01
  11-  13 2.6E-01 2.5E-01 2.4E-01 2.3E-01 2.0E-01 1.8E-01 1.6E-01 1.3E-01 9.5E-02 6.7E-02 4.9E-02 4.0E-02 3.5E-02   1.4E+00
  13-  15 5.8E-01 5.7E-01 5.4E-01 5.0E-01 4.4E-01 3.8E-01 3.2E-01 2.7E-01 1.8E-01 1.3E-01 9.8E-02 8.5E-02 7.9E-02   2.9E+00
  15-  17 6.1E-01 5.9E-01 5.5E-01 5.0E-01 4.3E-01 3.6E-01 2.9E-01 2.3E-01 1.4E-01 8.3E-02 5.3E-02 3.8E-02 3.1E-02   2.4E+00
  17-  19 5.7E-02 5.5E-02 5.1E-02 4.4E-02 3.6E-02 2.8E-02 2.1E-02 1.5E-02 7.1E-03 3.2E-03 1.4E-03 7.6E-04 5.1E-04   1.7E-01
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
                                                                          deuteron production cross section (mb) =1.497E+01
                                                                          deuteron multiplicity (dimensionless)  =9.246E-03
                                                                          deuteron average energy (MeV)          =1.404E+01
                                                                          deuteron kerma coefficient (fGym^2)    =0.000E+00
  
                        22-MeV  protons incident on 208Pb
                        Emission spectrum of    *alphas*
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
ANGLE(deg)    0      10      20      30      40      50      60      70      90     110     130     150     180     ANG-INT
ENERGY                                     Double-differential emission spectra (mb/MeV.sr)                        (mb/MeV)
 (MeV)    ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
   0-   3 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00   0.0E+00
   3-   5 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 7.3E-12 2.3E-11   1.5E-11
   5-   7 1.1E-06 1.1E-06 1.1E-06 1.1E-06 1.2E-06 1.2E-06 1.3E-06 1.3E-06 1.5E-06 1.6E-06 1.7E-06 1.8E-06 1.9E-06   1.9E-05
   7-   9 3.0E-04 3.0E-04 3.1E-04 3.2E-04 3.3E-04 3.4E-04 3.6E-04 3.7E-04 4.1E-04 4.5E-04 4.9E-04 5.1E-04 5.3E-04   5.2E-03
   9-  11 1.5E-03 1.5E-03 1.6E-03 1.6E-03 1.6E-03 1.6E-03 1.6E-03 1.6E-03 1.7E-03 1.7E-03 1.8E-03 1.8E-03 1.8E-03   2.1E-02
  11-  13 1.3E-03 1.2E-03 1.2E-03 1.2E-03 1.2E-03 1.1E-03 1.1E-03 1.1E-03 1.0E-03 1.0E-03 1.0E-03 1.0E-03 1.1E-03   1.3E-02
  13-  15 2.7E-03 2.7E-03 2.7E-03 2.7E-03 2.8E-03 2.8E-03 2.9E-03 2.9E-03 3.2E-03 3.4E-03 3.8E-03 4.0E-03 4.3E-03   4.1E-02
  15-  17 6.7E-03 6.6E-03 6.6E-03 6.5E-03 6.3E-03 6.2E-03 6.1E-03 6.0E-03 5.9E-03 6.0E-03 6.3E-03 6.6E-03 6.9E-03   7.8E-02
  17-  19 1.7E-02 1.7E-02 1.7E-02 1.7E-02 1.6E-02 1.6E-02 1.5E-02 1.4E-02 1.4E-02 1.3E-02 1.3E-02 1.2E-02 1.3E-02   1.8E-01
  19-  21 4.7E-02 4.7E-02 4.6E-02 4.4E-02 4.1E-02 3.8E-02 3.5E-02 3.2E-02 2.6E-02 2.1E-02 1.8E-02 1.6E-02 1.5E-02   3.5E-01
  21-  23 9.1E-02 9.0E-02 8.6E-02 8.1E-02 7.4E-02 6.7E-02 5.9E-02 5.1E-02 3.8E-02 2.8E-02 2.1E-02 1.7E-02 1.5E-02   5.4E-01
  23-  25 1.0E-01 9.8E-02 9.4E-02 8.6E-02 7.7E-02 6.7E-02 5.7E-02 4.7E-02 3.2E-02 2.1E-02 1.5E-02 1.1E-02 9.3E-03   4.9E-01
  25-  27 6.6E-02 6.4E-02 6.0E-02 5.4E-02 4.7E-02 3.9E-02 3.2E-02 2.5E-02 1.5E-02 9.3E-03 6.2E-03 4.9E-03 4.3E-03   2.7E-01
  27-  29 1.6E-02 1.6E-02 1.5E-02 1.3E-02 1.0E-02 7.9E-03 5.8E-03 4.1E-03 1.9E-03 8.3E-04 3.8E-04 2.1E-04 1.4E-04   4.8E-02
  29-  31 4.6E-05 4.3E-05 3.6E-05 2.6E-05 1.7E-05 1.0E-05 6.1E-06 3.2E-06 5.1E-07 2.7E-09 7.3E-13 2.5E-13 1.2E-13   6.9E-05
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
                                                                             alpha production cross section (mb) =4.058E+00
                                                                             alpha multiplicity (dimensionless)  =2.506E-03
                                                                             alpha average energy (MeV)          =2.185E+01
                                                                             alpha kerma coefficient (fGym^2)    =0.000E+00
  
***************************** A<5 PRODUCTION CROSS SECTION SUMMARY ********************************************************
 neutron prod. cross sec. (mb)=3.550E+03 ;multiplicity=2.193E+00 ;av. energy (MeV)=1.943E+00 ;kerma co. (fGym^2) =0.000E+00
  proton prod. cross sec. (mb)=9.015E+01 ;multiplicity=5.568E-02 ;av. energy (MeV)=1.487E+01 ;kerma co. (fGym^2) =0.000E+00
deuteron prod. cross sec. (mb)=1.497E+01 ;multiplicity=9.246E-03 ;av. energy (MeV)=1.404E+01 ;kerma co. (fGym^2) =0.000E+00
  triton prod. cross sec. (mb)=2.607E+00 ;multiplicity=1.610E-03 ;av. energy (MeV)=1.247E+01 ;kerma co. (fGym^2) =0.000E+00
   alpha prod. cross sec. (mb)=4.058E+00 ;multiplicity=2.506E-03 ;av. energy (MeV)=2.185E+01 ;kerma co. (fGym^2) =0.000E+00
   gamma prod. cross sec. (mb)=4.528E+03 ;multiplicity=2.797E+00 ;av. energy (MeV)=1.428E+00 ;kerma co. (fGym^2) =0.000E+00
******************************** ENERGY DEPOSITION SUMMARY ****************************************************************
Average fraction of incident energy transferred to secondary ejectiles per nonelastic reaction:
neut.=1.94E-01; prot.=3.76E-02; deut.=5.90E-03; trit.=9.13E-04; alph.=2.49E-03; gamm.=1.82E-01; A>5 recoils=5.71E-03
***************************************************************************************************************************

+++++++++++++++++++++++++++++++++++++++  24-MeV  protons incident on 208Pb ++++++++++++++++++++++++++++++++++++++++++++++++

Cross section summary information for  24-MeV reactions on 208Pb:
Nonelastic cross section = 1.724E+03 mb
  
                        24-MeV  protons incident on 208Pb
                        Emission spectrum of  *neutrons*
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
ANGLE(deg)    0      10      20      30      40      50      60      70      90     110     130     150     180     ANG-INT
ENERGY                                     Double-differential emission spectra (mb/MeV.sr)                        (mb/MeV)
 (MeV)    ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
   0-   3 1.0E+02 1.0E+02 9.9E+01 9.8E+01 9.7E+01 9.6E+01 9.4E+01 9.3E+01 9.1E+01 9.0E+01 9.1E+01 9.1E+01 9.2E+01   1.2E+03
   3-   5 2.4E+01 2.3E+01 2.3E+01 2.3E+01 2.2E+01 2.1E+01 2.1E+01 2.0E+01 1.9E+01 1.8E+01 1.8E+01 1.8E+01 1.8E+01   2.5E+02
   5-   7 5.6E+00 5.6E+00 5.5E+00 5.3E+00 5.1E+00 4.9E+00 4.6E+00 4.3E+00 3.9E+00 3.5E+00 3.3E+00 3.2E+00 3.2E+00   5.1E+01
   7-   9 2.7E+00 2.7E+00 2.6E+00 2.5E+00 2.4E+00 2.2E+00 2.0E+00 1.9E+00 1.5E+00 1.3E+00 1.1E+00 1.0E+00 9.6E-01   2.1E+01
   9-  11 2.1E+00 2.0E+00 2.0E+00 1.9E+00 1.7E+00 1.6E+00 1.4E+00 1.3E+00 1.0E+00 8.0E-01 6.5E-01 5.6E-01 5.1E-01   1.4E+01
  11-  13 1.7E+00 1.7E+00 1.6E+00 1.5E+00 1.4E+00 1.3E+00 1.1E+00 9.9E-01 7.5E-01 5.7E-01 4.4E-01 3.7E-01 3.3E-01   1.1E+01
  13-  15 1.4E+00 1.4E+00 1.3E+00 1.2E+00 1.1E+00 1.0E+00 8.8E-01 7.6E-01 5.5E-01 4.0E-01 3.0E-01 2.5E-01 2.2E-01   8.0E+00
  15-  17 1.1E+00 1.0E+00 9.9E-01 9.2E-01 8.3E-01 7.3E-01 6.3E-01 5.3E-01 3.7E-01 2.6E-01 1.9E-01 1.5E-01 1.3E-01   5.6E+00
  17-  19 6.6E-01 6.5E-01 6.1E-01 5.6E-01 5.0E-01 4.3E-01 3.7E-01 3.1E-01 2.1E-01 1.4E-01 1.1E-01 9.7E-02 9.2E-02   3.3E+00
  19-  21 1.7E-01 1.7E-01 1.6E-01 1.4E-01 1.2E-01 1.0E-01 8.3E-02 6.6E-02 4.1E-02 2.7E-02 2.0E-02 1.7E-02 1.5E-02   7.2E-01
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
                                                                           neutron production cross section (mb) =4.216E+03
                                                                           neutron multiplicity (dimensionless)  =2.445E+00
                                                                           neutron average energy (MeV)          =2.004E+00
  
                        24-MeV  protons incident on 208Pb
                        Emission spectrum of   *protons*
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
ANGLE(deg)    0      10      20      30      40      50      60      70      90     110     130     150     180     ANG-INT
ENERGY                                     Double-differential emission spectra (mb/MeV.sr)                        (mb/MeV)
 (MeV)    ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
   0-   3 4.3E-05 4.3E-05 4.4E-05 4.5E-05 4.6E-05 4.8E-05 5.1E-05 5.4E-05 6.1E-05 7.0E-05 8.0E-05 8.8E-05 9.4E-05   8.0E-04
   3-   5 1.7E-02 1.7E-02 1.7E-02 1.6E-02 1.6E-02 1.6E-02 1.6E-02 1.6E-02 1.7E-02 1.7E-02 1.8E-02 1.9E-02 1.9E-02   2.1E-01
   5-   7 3.5E-02 3.5E-02 3.4E-02 3.4E-02 3.3E-02 3.2E-02 3.1E-02 3.0E-02 2.8E-02 2.7E-02 2.7E-02 2.7E-02 2.8E-02   3.7E-01
   7-   9 1.6E-01 1.6E-01 1.6E-01 1.5E-01 1.5E-01 1.4E-01 1.3E-01 1.2E-01 1.0E-01 9.2E-02 8.3E-02 7.8E-02 7.5E-02   1.4E+00
   9-  11 6.0E-01 5.9E-01 5.7E-01 5.5E-01 5.1E-01 4.8E-01 4.3E-01 3.9E-01 3.2E-01 2.6E-01 2.1E-01 1.9E-01 1.7E-01   4.3E+00
  11-  13 1.2E+00 1.2E+00 1.2E+00 1.1E+00 1.0E+00 9.1E-01 8.2E-01 7.2E-01 5.5E-01 4.2E-01 3.3E-01 2.8E-01 2.5E-01   7.7E+00
  13-  15 1.7E+00 1.6E+00 1.6E+00 1.5E+00 1.3E+00 1.2E+00 1.0E+00 9.1E-01 6.6E-01 4.8E-01 3.6E-01 2.9E-01 2.6E-01   9.5E+00
  15-  17 1.9E+00 1.9E+00 1.8E+00 1.7E+00 1.5E+00 1.3E+00 1.2E+00 9.8E-01 6.8E-01 4.8E-01 3.5E-01 2.7E-01 2.4E-01   1.0E+01
  17-  19 3.0E+00 2.9E+00 2.7E+00 2.5E+00 2.2E+00 1.9E+00 1.6E+00 1.4E+00 9.2E-01 6.4E-01 5.0E-01 4.4E-01 4.2E-01   1.5E+01
