
+++++++++++++++++++++++ 1H(n,p)n at En = 10.0 MeV +++++++++++++++++++++++
-------------------------------------------------------------------------
 ANGLE-p    ENERGY-p   DIFF. X/S-p      ANGLE-n    ENERGY-n   DIFF. X/S-n
 (deg)       (MeV)       (mb/sr)        (deg)       (MeV)       (mb/sr)
---------   ---------   ---------      ---------   ---------   ---------
2.980E+01   2.250E+01   8.555E+01      5.974E+01   7.500E+00   4.897E+01
2.483E+01   2.464E+01   9.229E+01      6.474E+01   5.358E+00   4.257E+01
1.985E+01   2.649E+01   9.917E+01      6.975E+01   3.509E+00   3.567E+01
1.489E+01   2.799E+01   1.060E+02      7.474E+01   2.010E+00   2.813E+01
9.923E+00   2.909E+01   1.123E+02      7.970E+01   9.046E-01   1.983E+01
4.961E+00   2.977E+01   1.169E+02      8.451E+01   2.279E-01   1.098E+01
0.000E+00   3.000E+01   1.186E+02      9.000E+01   0.000E+00   0.000E+00
-------------------------------------------------------------------------
elastic cross section (mb)  = 3.067E+02
proton average energy (MeV) = 1.524E+01
proton kerma (f Gy m^2)     = 4.478E+01

+++++++++++++++++++++++ 1H(n,p)n at En = 40.0 MeV +++++++++++++++++++++++
-------------------------------------------------------------------------
 ANGLE-p    ENERGY-p   DIFF. X/S-p      ANGLE-n    ENERGY-n   DIFF. X/S-n
 (deg)       (MeV)       (mb/sr)        (deg)       (MeV)       (mb/sr)
---------   ---------   ---------      ---------   ---------   ---------
9.000E+01   0.000E+00   0.000E+00      0.000E+00   4.000E+01   8.268E+01
8.495E+01   3.039E-01   6.897E+00      4.944E+00   3.970E+01   8.144E+01
7.990E+01   1.206E+00   1.335E+01      9.890E+00   3.879E+01   7.812E+01
7.485E+01   2.680E+00   1.914E+01      1.484E+01   3.732E+01   7.352E+01
6.981E+01   4.679E+00   2.424E+01      1.979E+01   3.532E+01   6.833E+01
6.477E+01   7.144E+00   2.874E+01      2.475E+01   3.286E+01   6.300E+01
5.974E+01   1.000E+01   3.283E+01      2.972E+01   3.000E+01   5.786E+01
5.472E+01   1.316E+01   3.675E+01      3.469E+01   2.684E+01   5.315E+01
4.970E+01   1.653E+01   4.074E+01      3.967E+01   2.347E+01   4.891E+01
4.470E+01   2.000E+01   4.498E+01      4.466E+01   2.000E+01   4.507E+01
3.970E+01   2.347E+01   4.959E+01      4.966E+01   1.653E+01   4.148E+01
3.472E+01   2.684E+01   5.458E+01      5.466E+01   1.316E+01   3.791E+01
2.974E+01   3.000E+01   5.993E+01      5.967E+01   1.000E+01   3.418E+01
2.477E+01   3.286E+01   6.566E+01      6.468E+01   7.144E+00   3.014E+01
1.981E+01   3.532E+01   7.182E+01      6.970E+01   4.679E+00   2.568E+01
1.485E+01   3.732E+01   7.854E+01      7.470E+01   2.680E+00   2.070E+01
9.897E+00   3.879E+01   8.546E+01      7.968E+01   1.206E+00   1.497E+01
4.948E+00   3.970E+01   9.112E+01      8.450E+01   3.038E-01   8.487E+00
0.000E+00   4.000E+01   9.337E+01      9.000E+01   0.000E+00   0.000E+00
-------------------------------------------------------------------------
elastic cross section (mb)  = 2.174E+02
proton average energy (MeV) = 2.029E+01
proton kerma (f Gy m^2)     = 4.226E+01

+++++++++++++++++++++++ 1H(n,p)n at En = 50.0 MeV +++++++++++++++++++++++
-------------------------------------------------------------------------
 ANGLE-p    ENERGY-p   DIFF. X/S-p      ANGLE-n    ENERGY-n   DIFF. X/S-n
 (deg)       (MeV)       (mb/sr)        (deg)       (MeV)       (mb/sr)
---------   ---------   ---------      ---------   ---------   ---------
9.000E+01   0.000E+00   0.000E+00      0.000E+00   5.000E+01   7.107E+01
8.493E+01   3.801E-01   5.839E+00      4.932E+00   4.962E+01   6.949E+01
7.987E+01   1.508E+00   1.111E+01      9.865E+00   4.849E+01   6.545E+01
7.481E+01   3.349E+00   1.555E+01      1.480E+01   4.665E+01   6.015E+01
6.976E+01   5.849E+00   1.918E+01      1.975E+01   4.415E+01   5.439E+01
6.471E+01   8.931E+00   2.214E+01      2.469E+01   4.107E+01   4.878E+01
5.967E+01   1.250E+01   2.469E+01      2.965E+01   3.750E+01   4.369E+01
5.465E+01   1.645E+01   2.711E+01      3.462E+01   3.355E+01   3.930E+01
4.963E+01   2.066E+01   2.972E+01      3.960E+01   2.934E+01   3.572E+01
4.462E+01   2.500E+01   3.275E+01      4.458E+01   2.500E+01   3.282E+01
3.963E+01   2.934E+01   3.636E+01      4.958E+01   2.066E+01   3.037E+01
3.465E+01   3.355E+01   4.055E+01      5.459E+01   1.645E+01   2.809E+01
2.967E+01   3.750E+01   4.527E+01      5.960E+01   1.250E+01   2.572E+01
2.471E+01   4.107E+01   5.048E+01      6.463E+01   8.930E+00   2.305E+01
1.976E+01   4.415E+01   5.630E+01      6.965E+01   5.849E+00   2.001E+01
1.481E+01   4.665E+01   6.303E+01      7.467E+01   3.349E+00   1.650E+01
9.872E+00   4.849E+01   7.052E+01      7.965E+01   1.508E+00   1.227E+01
4.935E+00   4.962E+01   7.717E+01      8.449E+01   3.798E-01   7.132E+00
0.000E+00   5.000E+01   7.997E+01      9.000E+01   0.000E+00   0.000E+00
-------------------------------------------------------------------------
elastic cross section (mb)  = 1.664E+02
proton average energy (MeV) = 2.532E+01
proton kerma (f Gy m^2)     = 4.036E+01

+++++++++++++++++++++++ 1H(n,p)n at En = 60.0 MeV +++++++++++++++++++++++
-------------------------------------------------------------------------
 ANGLE-p    ENERGY-p   DIFF. X/S-p      ANGLE-n    ENERGY-n   DIFF. X/S-n
 (deg)       (MeV)       (mb/sr)        (deg)       (MeV)       (mb/sr)
---------   ---------   ---------      ---------   ---------   ---------
9.000E+01   0.000E+00   0.000E+00      0.000E+00   6.000E+01   6.395E+01
8.492E+01   4.557E-01   5.176E+00      4.919E+00   5.954E+01   6.206E+01
7.985E+01   1.809E+00   9.668E+00      9.840E+00   5.819E+01   5.740E+01
7.477E+01   4.019E+00   1.323E+01      1.477E+01   5.598E+01   5.152E+01
6.971E+01   7.019E+00   1.589E+01      1.970E+01   5.298E+01   4.533E+01
6.465E+01   1.072E+01   1.785E+01      2.464E+01   4.928E+01   3.952E+01
5.961E+01   1.500E+01   1.938E+01      2.959E+01   4.500E+01   3.443E+01
5.458E+01   1.974E+01   2.083E+01      3.455E+01   4.026E+01   3.029E+01
4.956E+01   2.479E+01   2.258E+01      3.953E+01   3.521E+01   2.718E+01
4.455E+01   3.000E+01   2.486E+01      4.451E+01   3.000E+01   2.491E+01
3.956E+01   3.521E+01   2.786E+01      4.951E+01   2.479E+01   2.324E+01
3.458E+01   4.026E+01   3.158E+01      5.452E+01   1.974E+01   2.182E+01
2.961E+01   4.500E+01   3.592E+01      5.954E+01   1.500E+01   2.032E+01
